link,song,group
https://www.lyrics.com/lyric/22970316/Alicia+Keys/Un-Thinkable+%28I%27m+Ready%29,Un-Thinkable (I'm Ready),Alicia Keys
https://www.lyrics.com/lyric/22029813/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/22758077/Alicia+Keys/Karma,Karma,Alicia Keys
https://www.lyrics.com/lyric/21149448/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/19597444/Alicia+Keys/Rapture,Rapture,Alicia Keys
https://www.lyrics.com/lyric/19597454/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/32605514/Alicia+Keys/Rapture,Rapture,Alicia Keys
https://www.lyrics.com/lyric/20972684/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/19652311/Alicia+Keys/Fireworks,Fireworks,Alicia Keys
https://www.lyrics.com/lyric/19756158/Alicia+Keys/Fireworks,Fireworks,Alicia Keys
https://www.lyrics.com/lyric/19652363/Alicia+Keys/Fireworks,Fireworks,Alicia Keys
https://www.lyrics.com/lyric/19756171/Alicia+Keys/Fireworks,Fireworks,Alicia Keys
https://www.lyrics.com/lyric/19391185/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/35222662/Alicia+Keys/Empire+State+of+Mind,Empire State of Mind,Alicia Keys
https://www.lyrics.com/lyric/22707364/Alicia+Keys/Empire+State+of+Mind,Empire State of Mind,Alicia Keys
https://www.lyrics.com/lyric/22707310/Alicia+Keys/Empire+State+of+Mind,Empire State of Mind,Alicia Keys
https://www.lyrics.com/lyric/22339802/Alicia+Keys/Empire+State+of+Mind,Empire State of Mind,Alicia Keys
https://www.lyrics.com/lyric/19505728/Alicia+Keys/Piano+%26+I,Piano & I,Alicia Keys
https://www.lyrics.com/lyric/19505727/Alicia+Keys/Girlfriend,Girlfriend,Alicia Keys
